operationId,method,path,kind,detail,computable,abox_fact
activateAdHocSubProcessActivities,POST,/element-instances/ad-hoc-activities/{adHocSubProcessInstanceKey}/activation,403-forbidden,403 documented in spec,no,RBAC: permissions required per endpoint
activateAdHocSubProcessActivities,POST,/element-instances/ad-hoc-activities/{adHocSubProcessInstanceKey}/activation,business-entity-lifecycle,path has state-transition verb,no,lifecycle state machine for this entity
activateAdHocSubProcessActivities,POST,/element-instances/ad-hoc-activities/{adHocSubProcessInstanceKey}/activation,prerequisite-resource,1 path param(s) imply a referenced resource,no,creation chain per identifier semantic-type
activateAdHocSubProcessActivities,POST,/element-instances/ad-hoc-activities/{adHocSubProcessInstanceKey}/activation,documented-500,response code 500 documented in spec,yes,
activateAdHocSubProcessActivities,POST,/element-instances/ad-hoc-activities/{adHocSubProcessInstanceKey}/activation,documented-503,response code 503 documented in spec,yes,
searchElementInstances,POST,/element-instances/search,happy-path,documented success response,yes,
searchElementInstances,POST,/element-instances/search,401-unauthorized,spec declares securitySchemes but does not apply them,no,"spec-gap: which endpoints actually require auth (currently encoded only in deployment, not the spec)"
searchElementInstances,POST,/element-instances/search,bad-request:additional-property,closed schema,yes,
searchElementInstances,POST,/element-instances/search,bad-request:type-mismatch,"field=sort, type=array",yes,
searchElementInstances,POST,/element-instances/search,pagination-sort:request-shape,sort array in body,yes,
searchElementInstances,POST,/element-instances/search,pagination-sort:behaviour-assertion,"asserting result correctness, not just status",no,filter-field-semantics + sort-field-allowlist per entity
searchElementInstances,POST,/element-instances/search,filter:request-shape,filter object in body,yes,
searchElementInstances,POST,/element-instances/search,filter:behaviour-assertion,"asserting result correctness, not just status",no,filter-field-semantics + sort-field-allowlist per entity
searchElementInstances,POST,/element-instances/search,403-forbidden,403 documented in spec,no,RBAC: permissions required per endpoint
searchElementInstances,POST,/element-instances/search,eventual-consistency,search may lag behind writes,no,consistency window per entity (or eventually-consistent flag)
searchElementInstances,POST,/element-instances/search,scale-large-n,"behaviour at 10K+ entities; pagination limits, timeout, ordering stability",no,scale thresholds + expected response time per entity
searchElementInstances,POST,/element-instances/search,documented-500,response code 500 documented in spec,yes,
getElementInstance,GET,/element-instances/{elementInstanceKey},happy-path,documented success response,yes,
getElementInstance,GET,/element-instances/{elementInstanceKey},401-unauthorized,spec declares securitySchemes but does not apply them,no,"spec-gap: which endpoints actually require auth (currently encoded only in deployment, not the spec)"
getElementInstance,GET,/element-instances/{elementInstanceKey},404-not-found,"path param=elementInstanceKey, type=string, format=ElementInstanceKey",yes,
getElementInstance,GET,/element-instances/{elementInstanceKey},403-forbidden,403 documented in spec,no,RBAC: permissions required per endpoint
getElementInstance,GET,/element-instances/{elementInstanceKey},prerequisite-resource,1 path param(s) imply a referenced resource,no,creation chain per identifier semantic-type
getElementInstance,GET,/element-instances/{elementInstanceKey},documented-500,response code 500 documented in spec,yes,
searchElementInstanceIncidents,POST,/element-instances/{elementInstanceKey}/incidents/search,happy-path,documented success response,yes,
searchElementInstanceIncidents,POST,/element-instances/{elementInstanceKey}/incidents/search,401-unauthorized,spec declares securitySchemes but does not apply them,no,"spec-gap: which endpoints actually require auth (currently encoded only in deployment, not the spec)"
searchElementInstanceIncidents,POST,/element-instances/{elementInstanceKey}/incidents/search,404-not-found,"path param=elementInstanceKey, type=string, format=ElementInstanceKey",yes,
searchElementInstanceIncidents,POST,/element-instances/{elementInstanceKey}/incidents/search,bad-request:additional-property,closed schema,yes,
searchElementInstanceIncidents,POST,/element-instances/{elementInstanceKey}/incidents/search,bad-request:type-mismatch,"field=sort, type=array",yes,
searchElementInstanceIncidents,POST,/element-instances/{elementInstanceKey}/incidents/search,pagination-sort:request-shape,sort array in body,yes,
searchElementInstanceIncidents,POST,/element-instances/{elementInstanceKey}/incidents/search,pagination-sort:behaviour-assertion,"asserting result correctness, not just status",no,filter-field-semantics + sort-field-allowlist per entity
searchElementInstanceIncidents,POST,/element-instances/{elementInstanceKey}/incidents/search,filter:request-shape,filter object in body,yes,
searchElementInstanceIncidents,POST,/element-instances/{elementInstanceKey}/incidents/search,filter:behaviour-assertion,"asserting result correctness, not just status",no,filter-field-semantics + sort-field-allowlist per entity
searchElementInstanceIncidents,POST,/element-instances/{elementInstanceKey}/incidents/search,403-forbidden,403 documented in spec,no,RBAC: permissions required per endpoint
searchElementInstanceIncidents,POST,/element-instances/{elementInstanceKey}/incidents/search,prerequisite-resource,1 path param(s) imply a referenced resource,no,creation chain per identifier semantic-type
searchElementInstanceIncidents,POST,/element-instances/{elementInstanceKey}/incidents/search,eventual-consistency,search may lag behind writes,no,consistency window per entity (or eventually-consistent flag)
searchElementInstanceIncidents,POST,/element-instances/{elementInstanceKey}/incidents/search,scale-large-n,"behaviour at 10K+ entities; pagination limits, timeout, ordering stability",no,scale thresholds + expected response time per entity
searchElementInstanceIncidents,POST,/element-instances/{elementInstanceKey}/incidents/search,documented-500,response code 500 documented in spec,yes,
createElementInstanceVariables,PUT,/element-instances/{elementInstanceKey}/variables,happy-path,documented success response,yes,
createElementInstanceVariables,PUT,/element-instances/{elementInstanceKey}/variables,401-unauthorized,spec declares securitySchemes but does not apply them,no,"spec-gap: which endpoints actually require auth (currently encoded only in deployment, not the spec)"
createElementInstanceVariables,PUT,/element-instances/{elementInstanceKey}/variables,404-not-found,"path param=elementInstanceKey, type=string, format=ElementInstanceKey",yes,
createElementInstanceVariables,PUT,/element-instances/{elementInstanceKey}/variables,bad-request:missing-required,field=variables,yes,
createElementInstanceVariables,PUT,/element-instances/{elementInstanceKey}/variables,bad-request:additional-property,closed schema,yes,
createElementInstanceVariables,PUT,/element-instances/{elementInstanceKey}/variables,bad-request:type-mismatch,"field=variables, type=object",yes,
createElementInstanceVariables,PUT,/element-instances/{elementInstanceKey}/variables,bad-request:type-mismatch,"field=local, type=boolean",yes,
createElementInstanceVariables,PUT,/element-instances/{elementInstanceKey}/variables,bad-request:format-invalid,"field=operationReference, format=int64",yes,
createElementInstanceVariables,PUT,/element-instances/{elementInstanceKey}/variables,bad-request:type-mismatch,"field=operationReference, type=integer",yes,
createElementInstanceVariables,PUT,/element-instances/{elementInstanceKey}/variables,bad-request:range-violation,field=operationReference,yes,
createElementInstanceVariables,PUT,/element-instances/{elementInstanceKey}/variables,409-conflict,create-or-replace with same identifier,no,duplicatePolicy per endpoint (idempotent | conflict | replace)
createElementInstanceVariables,PUT,/element-instances/{elementInstanceKey}/variables,403-forbidden,403 not documented; emitter needs to know if RBAC applies,no,RBAC: permissions required per endpoint
createElementInstanceVariables,PUT,/element-instances/{elementInstanceKey}/variables,prerequisite-resource,1 path param(s) imply a referenced resource,no,creation chain per identifier semantic-type
createElementInstanceVariables,PUT,/element-instances/{elementInstanceKey}/variables,documented-500,response code 500 documented in spec,yes,
createElementInstanceVariables,PUT,/element-instances/{elementInstanceKey}/variables,documented-503,response code 503 documented in spec,yes,
createElementInstanceVariables,PUT,/element-instances/{elementInstanceKey}/variables,documented-504,response code 504 documented in spec,yes,
evaluateExpression,POST,/expression/evaluation,happy-path,documented success response,yes,
evaluateExpression,POST,/expression/evaluation,401-unauthorized,spec declares securitySchemes but does not apply them,no,"spec-gap: which endpoints actually require auth (currently encoded only in deployment, not the spec)"
evaluateExpression,POST,/expression/evaluation,bad-request:missing-required,field=expression,yes,
evaluateExpression,POST,/expression/evaluation,bad-request:type-mismatch,"field=expression, type=string",yes,
evaluateExpression,POST,/expression/evaluation,bad-request:type-mismatch,"field=tenantId, type=string",yes,
evaluateExpression,POST,/expression/evaluation,bad-request:type-mismatch,"field=variables, type=object",yes,
evaluateExpression,POST,/expression/evaluation,409-conflict,create-or-replace with same identifier,no,duplicatePolicy per endpoint (idempotent | conflict | replace)
evaluateExpression,POST,/expression/evaluation,403-forbidden,403 documented in spec,no,RBAC: permissions required per endpoint
evaluateExpression,POST,/expression/evaluation,documented-500,response code 500 documented in spec,yes,
getFormByKey,GET,/forms/{formKey},happy-path,documented success response,yes,
getFormByKey,GET,/forms/{formKey},401-unauthorized,spec declares securitySchemes but does not apply them,no,"spec-gap: which endpoints actually require auth (currently encoded only in deployment, not the spec)"
getFormByKey,GET,/forms/{formKey},404-not-found,"path param=formKey, type=string, format=FormKey",yes,
getFormByKey,GET,/forms/{formKey},403-forbidden,403 documented in spec,no,RBAC: permissions required per endpoint
getFormByKey,GET,/forms/{formKey},prerequisite-resource,1 path param(s) imply a referenced resource,no,creation chain per identifier semantic-type
getFormByKey,GET,/forms/{formKey},documented-500,response code 500 documented in spec,yes,
createGlobalTaskListener,POST,/global-task-listeners,happy-path,documented success response,yes,
createGlobalTaskListener,POST,/global-task-listeners,401-unauthorized,spec declares securitySchemes but does not apply them,no,"spec-gap: which endpoints actually require auth (currently encoded only in deployment, not the spec)"
createGlobalTaskListener,POST,/global-task-listeners,bad-request:missing-required,field=id,yes,
createGlobalTaskListener,POST,/global-task-listeners,bad-request:missing-required,field=type,yes,
createGlobalTaskListener,POST,/global-task-listeners,bad-request:missing-required,field=eventTypes,yes,
createGlobalTaskListener,POST,/global-task-listeners,bad-request:format-invalid,"field=id, format=GlobalListenerId",yes,
createGlobalTaskListener,POST,/global-task-listeners,bad-request:type-mismatch,"field=id, type=string",yes,
createGlobalTaskListener,POST,/global-task-listeners,409-conflict,create-or-replace with same identifier,no,duplicatePolicy per endpoint (idempotent | conflict | replace)
createGlobalTaskListener,POST,/global-task-listeners,403-forbidden,403 documented in spec,no,RBAC: permissions required per endpoint
createGlobalTaskListener,POST,/global-task-listeners,business-entity-lifecycle,409 documented on non-collection POST,no,lifecycle state machine for this entity
createGlobalTaskListener,POST,/global-task-listeners,documented-500,response code 500 documented in spec,yes,
createGlobalTaskListener,POST,/global-task-listeners,documented-503,response code 503 documented in spec,yes,
getGlobalTaskListener,GET,/global-task-listeners/{id},happy-path,documented success response,yes,
getGlobalTaskListener,GET,/global-task-listeners/{id},401-unauthorized,spec declares securitySchemes but does not apply them,no,"spec-gap: which endpoints actually require auth (currently encoded only in deployment, not the spec)"
getGlobalTaskListener,GET,/global-task-listeners/{id},404-not-found,"path param=id, type=string, format=GlobalListenerId",yes,
getGlobalTaskListener,GET,/global-task-listeners/{id},403-forbidden,403 documented in spec,no,RBAC: permissions required per endpoint
getGlobalTaskListener,GET,/global-task-listeners/{id},prerequisite-resource,1 path param(s) imply a referenced resource,no,creation chain per identifier semantic-type
getGlobalTaskListener,GET,/global-task-listeners/{id},documented-500,response code 500 documented in spec,yes,
updateGlobalTaskListener,PUT,/global-task-listeners/{id},happy-path,documented success response,yes,
updateGlobalTaskListener,PUT,/global-task-listeners/{id},401-unauthorized,spec declares securitySchemes but does not apply them,no,"spec-gap: which endpoints actually require auth (currently encoded only in deployment, not the spec)"
updateGlobalTaskListener,PUT,/global-task-listeners/{id},404-not-found,"path param=id, type=string, format=GlobalListenerId",yes,
updateGlobalTaskListener,PUT,/global-task-listeners/{id},bad-request:missing-required,field=type,yes,
updateGlobalTaskListener,PUT,/global-task-listeners/{id},bad-request:missing-required,field=eventTypes,yes,
updateGlobalTaskListener,PUT,/global-task-listeners/{id},409-conflict,create-or-replace with same identifier,no,duplicatePolicy per endpoint (idempotent | conflict | replace)
updateGlobalTaskListener,PUT,/global-task-listeners/{id},403-forbidden,403 documented in spec,no,RBAC: permissions required per endpoint
updateGlobalTaskListener,PUT,/global-task-listeners/{id},prerequisite-resource,1 path param(s) imply a referenced resource,no,creation chain per identifier semantic-type
updateGlobalTaskListener,PUT,/global-task-listeners/{id},documented-500,response code 500 documented in spec,yes,
updateGlobalTaskListener,PUT,/global-task-listeners/{id},documented-503,response code 503 documented in spec,yes,
deleteGlobalTaskListener,DELETE,/global-task-listeners/{id},happy-path,documented success response,yes,
deleteGlobalTaskListener,DELETE,/global-task-listeners/{id},401-unauthorized,spec declares securitySchemes but does not apply them,no,"spec-gap: which endpoints actually require auth (currently encoded only in deployment, not the spec)"
deleteGlobalTaskListener,DELETE,/global-task-listeners/{id},404-not-found,"path param=id, type=string, format=GlobalListenerId",yes,
deleteGlobalTaskListener,DELETE,/global-task-listeners/{id},403-forbidden,403 documented in spec,no,RBAC: permissions required per endpoint
deleteGlobalTaskListener,DELETE,/global-task-listeners/{id},prerequisite-resource,1 path param(s) imply a referenced resource,no,creation chain per identifier semantic-type
deleteGlobalTaskListener,DELETE,/global-task-listeners/{id},documented-500,response code 500 documented in spec,yes,
deleteGlobalTaskListener,DELETE,/global-task-listeners/{id},documented-503,response code 503 documented in spec,yes,
searchGlobalTaskListeners,POST,/global-task-listeners/search,happy-path,documented success response,yes,
searchGlobalTaskListeners,POST,/global-task-listeners/search,401-unauthorized,spec declares securitySchemes but does not apply them,no,"spec-gap: which endpoints actually require auth (currently encoded only in deployment, not the spec)"
searchGlobalTaskListeners,POST,/global-task-listeners/search,bad-request:additional-property,closed schema,yes,
searchGlobalTaskListeners,POST,/global-task-listeners/search,bad-request:type-mismatch,"field=sort, type=array",yes,
searchGlobalTaskListeners,POST,/global-task-listeners/search,pagination-sort:request-shape,sort array in body,yes,
searchGlobalTaskListeners,POST,/global-task-listeners/search,pagination-sort:behaviour-assertion,"asserting result correctness, not just status",no,filter-field-semantics + sort-field-allowlist per entity
searchGlobalTaskListeners,POST,/global-task-listeners/search,filter:request-shape,filter object in body,yes,
searchGlobalTaskListeners,POST,/global-task-listeners/search,filter:behaviour-assertion,"asserting result correctness, not just status",no,filter-field-semantics + sort-field-allowlist per entity
searchGlobalTaskListeners,POST,/global-task-listeners/search,403-forbidden,403 documented in spec,no,RBAC: permissions required per endpoint
searchGlobalTaskListeners,POST,/global-task-listeners/search,eventual-consistency,search may lag behind writes,no,consistency window per entity (or eventually-consistent flag)
searchGlobalTaskListeners,POST,/global-task-listeners/search,scale-large-n,"behaviour at 10K+ entities; pagination limits, timeout, ordering stability",no,scale thresholds + expected response time per entity
searchGlobalTaskListeners,POST,/global-task-listeners/search,documented-500,response code 500 documented in spec,yes,
createGroup,POST,/groups,happy-path,documented success response,yes,
createGroup,POST,/groups,401-unauthorized,spec declares securitySchemes but does not apply them,no,"spec-gap: which endpoints actually require auth (currently encoded only in deployment, not the spec)"
createGroup,POST,/groups,bad-request:missing-required,field=groupId,yes,
createGroup,POST,/groups,bad-request:missing-required,field=name,yes,
createGroup,POST,/groups,bad-request:additional-property,closed schema,yes,
createGroup,POST,/groups,bad-request:type-mismatch,"field=name, type=string",yes,
createGroup,POST,/groups,bad-request:type-mismatch,"field=description, type=string",yes,
createGroup,POST,/groups,409-conflict,create-or-replace with same identifier,no,duplicatePolicy per endpoint (idempotent | conflict | replace)
createGroup,POST,/groups,403-forbidden,403 documented in spec,no,RBAC: permissions required per endpoint
createGroup,POST,/groups,documented-500,response code 500 documented in spec,yes,
createGroup,POST,/groups,documented-503,response code 503 documented in spec,yes,
searchGroups,POST,/groups/search,happy-path,documented success response,yes,
searchGroups,POST,/groups/search,401-unauthorized,spec declares securitySchemes but does not apply them,no,"spec-gap: which endpoints actually require auth (currently encoded only in deployment, not the spec)"
searchGroups,POST,/groups/search,bad-request:additional-property,closed schema,yes,
searchGroups,POST,/groups/search,bad-request:type-mismatch,"field=sort, type=array",yes,
searchGroups,POST,/groups/search,pagination-sort:request-shape,sort array in body,yes,
searchGroups,POST,/groups/search,pagination-sort:behaviour-assertion,"asserting result correctness, not just status",no,filter-field-semantics + sort-field-allowlist per entity
searchGroups,POST,/groups/search,filter:request-shape,filter object in body,yes,
searchGroups,POST,/groups/search,filter:behaviour-assertion,"asserting result correctness, not just status",no,filter-field-semantics + sort-field-allowlist per entity
searchGroups,POST,/groups/search,403-forbidden,403 documented in spec,no,RBAC: permissions required per endpoint
searchGroups,POST,/groups/search,eventual-consistency,search may lag behind writes,no,consistency window per entity (or eventually-consistent flag)
searchGroups,POST,/groups/search,scale-large-n,"behaviour at 10K+ entities; pagination limits, timeout, ordering stability",no,scale thresholds + expected response time per entity
searchGroups,POST,/groups/search,documented-500,response code 500 documented in spec,yes,
getGroup,GET,/groups/{groupId},happy-path,documented success response,yes,
getGroup,GET,/groups/{groupId},401-unauthorized,spec declares securitySchemes but does not apply them,no,"spec-gap: which endpoints actually require auth (currently encoded only in deployment, not the spec)"
getGroup,GET,/groups/{groupId},404-not-found,"path param=groupId, type=string, format=GroupId",yes,
getGroup,GET,/groups/{groupId},403-forbidden,403 documented in spec,no,RBAC: permissions required per endpoint
getGroup,GET,/groups/{groupId},prerequisite-resource,1 path param(s) imply a referenced resource,no,creation chain per identifier semantic-type
getGroup,GET,/groups/{groupId},documented-500,response code 500 documented in spec,yes,
updateGroup,PUT,/groups/{groupId},happy-path,documented success response,yes,
updateGroup,PUT,/groups/{groupId},401-unauthorized,spec declares securitySchemes but does not apply them,no,"spec-gap: which endpoints actually require auth (currently encoded only in deployment, not the spec)"
updateGroup,PUT,/groups/{groupId},404-not-found,"path param=groupId, type=string, format=GroupId",yes,
updateGroup,PUT,/groups/{groupId},bad-request:missing-required,field=name,yes,
updateGroup,PUT,/groups/{groupId},bad-request:type-mismatch,"field=name, type=string",yes,
updateGroup,PUT,/groups/{groupId},bad-request:type-mismatch,"field=description, type=string",yes,
updateGroup,PUT,/groups/{groupId},409-conflict,create-or-replace with same identifier,no,duplicatePolicy per endpoint (idempotent | conflict | replace)
updateGroup,PUT,/groups/{groupId},403-forbidden,403 not documented; emitter needs to know if RBAC applies,no,RBAC: permissions required per endpoint
updateGroup,PUT,/groups/{groupId},prerequisite-resource,1 path param(s) imply a referenced resource,no,creation chain per identifier semantic-type
updateGroup,PUT,/groups/{groupId},documented-500,response code 500 documented in spec,yes,
updateGroup,PUT,/groups/{groupId},documented-503,response code 503 documented in spec,yes,
deleteGroup,DELETE,/groups/{groupId},happy-path,documented success response,yes,
deleteGroup,DELETE,/groups/{groupId},401-unauthorized,spec declares securitySchemes but does not apply them,no,"spec-gap: which endpoints actually require auth (currently encoded only in deployment, not the spec)"
deleteGroup,DELETE,/groups/{groupId},404-not-found,"path param=groupId, type=string, format=GroupId",yes,
deleteGroup,DELETE,/groups/{groupId},403-forbidden,403 not documented; emitter needs to know if RBAC applies,no,RBAC: permissions required per endpoint
deleteGroup,DELETE,/groups/{groupId},prerequisite-resource,1 path param(s) imply a referenced resource,no,creation chain per identifier semantic-type
deleteGroup,DELETE,/groups/{groupId},documented-500,response code 500 documented in spec,yes,
deleteGroup,DELETE,/groups/{groupId},documented-503,response code 503 documented in spec,yes,
searchClientsForGroup,POST,/groups/{groupId}/clients/search,happy-path,documented success response,yes,
searchClientsForGroup,POST,/groups/{groupId}/clients/search,401-unauthorized,spec declares securitySchemes but does not apply them,no,"spec-gap: which endpoints actually require auth (currently encoded only in deployment, not the spec)"
searchClientsForGroup,POST,/groups/{groupId}/clients/search,404-not-found,"path param=groupId, type=string, format=GroupId",yes,
searchClientsForGroup,POST,/groups/{groupId}/clients/search,bad-request:type-mismatch,"field=sort, type=array",yes,
searchClientsForGroup,POST,/groups/{groupId}/clients/search,pagination-sort:request-shape,sort array in body,yes,
searchClientsForGroup,POST,/groups/{groupId}/clients/search,pagination-sort:behaviour-assertion,"asserting result correctness, not just status",no,filter-field-semantics + sort-field-allowlist per entity
searchClientsForGroup,POST,/groups/{groupId}/clients/search,403-forbidden,403 documented in spec,no,RBAC: permissions required per endpoint
searchClientsForGroup,POST,/groups/{groupId}/clients/search,prerequisite-resource,1 path param(s) imply a referenced resource,no,creation chain per identifier semantic-type
searchClientsForGroup,POST,/groups/{groupId}/clients/search,eventual-consistency,search may lag behind writes,no,consistency window per entity (or eventually-consistent flag)
searchClientsForGroup,POST,/groups/{groupId}/clients/search,scale-large-n,"behaviour at 10K+ entities; pagination limits, timeout, ordering stability",no,scale thresholds + expected response time per entity
searchClientsForGroup,POST,/groups/{groupId}/clients/search,documented-500,response code 500 documented in spec,yes,
assignClientToGroup,PUT,/groups/{groupId}/clients/{clientId},happy-path,documented success response,yes,
assignClientToGroup,PUT,/groups/{groupId}/clients/{clientId},401-unauthorized,spec declares securitySchemes but does not apply them,no,"spec-gap: which endpoints actually require auth (currently encoded only in deployment, not the spec)"
assignClientToGroup,PUT,/groups/{groupId}/clients/{clientId},404-not-found,"path param=groupId, type=string, format=GroupId",yes,
assignClientToGroup,PUT,/groups/{groupId}/clients/{clientId},404-not-found,"path param=clientId, type=string, format=ClientId",yes,
assignClientToGroup,PUT,/groups/{groupId}/clients/{clientId},409-conflict,create-or-replace with same identifier,no,duplicatePolicy per endpoint (idempotent | conflict | replace)
assignClientToGroup,PUT,/groups/{groupId}/clients/{clientId},403-forbidden,403 documented in spec,no,RBAC: permissions required per endpoint
assignClientToGroup,PUT,/groups/{groupId}/clients/{clientId},prerequisite-resource,2 path param(s) imply a referenced resource,no,creation chain per identifier semantic-type
assignClientToGroup,PUT,/groups/{groupId}/clients/{clientId},documented-500,response code 500 documented in spec,yes,
assignClientToGroup,PUT,/groups/{groupId}/clients/{clientId},documented-503,response code 503 documented in spec,yes,
unassignClientFromGroup,DELETE,/groups/{groupId}/clients/{clientId},happy-path,documented success response,yes,
unassignClientFromGroup,DELETE,/groups/{groupId}/clients/{clientId},401-unauthorized,spec declares securitySchemes but does not apply them,no,"spec-gap: which endpoints actually require auth (currently encoded only in deployment, not the spec)"
unassignClientFromGroup,DELETE,/groups/{groupId}/clients/{clientId},404-not-found,"path param=groupId, type=string, format=GroupId",yes,
unassignClientFromGroup,DELETE,/groups/{groupId}/clients/{clientId},404-not-found,"path param=clientId, type=string, format=ClientId",yes,
unassignClientFromGroup,DELETE,/groups/{groupId}/clients/{clientId},403-forbidden,403 documented in spec,no,RBAC: permissions required per endpoint
unassignClientFromGroup,DELETE,/groups/{groupId}/clients/{clientId},business-entity-lifecycle,operationId prefix `unassign` implies state transition,no,lifecycle state machine for this entity
unassignClientFromGroup,DELETE,/groups/{groupId}/clients/{clientId},prerequisite-resource,2 path param(s) imply a referenced resource,no,creation chain per identifier semantic-type
unassignClientFromGroup,DELETE,/groups/{groupId}/clients/{clientId},documented-500,response code 500 documented in spec,yes,
unassignClientFromGroup,DELETE,/groups/{groupId}/clients/{clientId},documented-503,response code 503 documented in spec,yes,
searchMappingRulesForGroup,POST,/groups/{groupId}/mapping-rules/search,happy-path,documented success response,yes,
searchMappingRulesForGroup,POST,/groups/{groupId}/mapping-rules/search,401-unauthorized,spec declares securitySchemes but does not apply them,no,"spec-gap: which endpoints actually require auth (currently encoded only in deployment, not the spec)"
searchMappingRulesForGroup,POST,/groups/{groupId}/mapping-rules/search,404-not-found,"path param=groupId, type=string, format=GroupId",yes,
searchMappingRulesForGroup,POST,/groups/{groupId}/mapping-rules/search,bad-request:additional-property,closed schema,yes,
searchMappingRulesForGroup,POST,/groups/{groupId}/mapping-rules/search,bad-request:type-mismatch,"field=sort, type=array",yes,
searchMappingRulesForGroup,POST,/groups/{groupId}/mapping-rules/search,pagination-sort:request-shape,sort array in body,yes,
searchMappingRulesForGroup,POST,/groups/{groupId}/mapping-rules/search,pagination-sort:behaviour-assertion,"asserting result correctness, not just status",no,filter-field-semantics + sort-field-allowlist per entity
searchMappingRulesForGroup,POST,/groups/{groupId}/mapping-rules/search,filter:request-shape,filter object in body,yes,
searchMappingRulesForGroup,POST,/groups/{groupId}/mapping-rules/search,filter:behaviour-assertion,"asserting result correctness, not just status",no,filter-field-semantics + sort-field-allowlist per entity
searchMappingRulesForGroup,POST,/groups/{groupId}/mapping-rules/search,403-forbidden,403 documented in spec,no,RBAC: permissions required per endpoint
searchMappingRulesForGroup,POST,/groups/{groupId}/mapping-rules/search,prerequisite-resource,1 path param(s) imply a referenced resource,no,creation chain per identifier semantic-type
searchMappingRulesForGroup,POST,/groups/{groupId}/mapping-rules/search,eventual-consistency,search may lag behind writes,no,consistency window per entity (or eventually-consistent flag)
searchMappingRulesForGroup,POST,/groups/{groupId}/mapping-rules/search,scale-large-n,"behaviour at 10K+ entities; pagination limits, timeout, ordering stability",no,scale thresholds + expected response time per entity
searchMappingRulesForGroup,POST,/groups/{groupId}/mapping-rules/search,documented-500,response code 500 documented in spec,yes,
assignMappingRuleToGroup,PUT,/groups/{groupId}/mapping-rules/{mappingRuleId},happy-path,documented success response,yes,
assignMappingRuleToGroup,PUT,/groups/{groupId}/mapping-rules/{mappingRuleId},401-unauthorized,spec declares securitySchemes but does not apply them,no,"spec-gap: which endpoints actually require auth (currently encoded only in deployment, not the spec)"
assignMappingRuleToGroup,PUT,/groups/{groupId}/mapping-rules/{mappingRuleId},404-not-found,"path param=groupId, type=string, format=GroupId",yes,
assignMappingRuleToGroup,PUT,/groups/{groupId}/mapping-rules/{mappingRuleId},404-not-found,"path param=mappingRuleId, type=string, format=MappingRuleId",yes,
assignMappingRuleToGroup,PUT,/groups/{groupId}/mapping-rules/{mappingRuleId},409-conflict,create-or-replace with same identifier,no,duplicatePolicy per endpoint (idempotent | conflict | replace)
assignMappingRuleToGroup,PUT,/groups/{groupId}/mapping-rules/{mappingRuleId},403-forbidden,403 documented in spec,no,RBAC: permissions required per endpoint
assignMappingRuleToGroup,PUT,/groups/{groupId}/mapping-rules/{mappingRuleId},prerequisite-resource,2 path param(s) imply a referenced resource,no,creation chain per identifier semantic-type
assignMappingRuleToGroup,PUT,/groups/{groupId}/mapping-rules/{mappingRuleId},documented-500,response code 500 documented in spec,yes,
assignMappingRuleToGroup,PUT,/groups/{groupId}/mapping-rules/{mappingRuleId},documented-503,response code 503 documented in spec,yes,
unassignMappingRuleFromGroup,DELETE,/groups/{groupId}/mapping-rules/{mappingRuleId},happy-path,documented success response,yes,
unassignMappingRuleFromGroup,DELETE,/groups/{groupId}/mapping-rules/{mappingRuleId},401-unauthorized,spec declares securitySchemes but does not apply them,no,"spec-gap: which endpoints actually require auth (currently encoded only in deployment, not the spec)"
unassignMappingRuleFromGroup,DELETE,/groups/{groupId}/mapping-rules/{mappingRuleId},404-not-found,"path param=groupId, type=string, format=GroupId",yes,
unassignMappingRuleFromGroup,DELETE,/groups/{groupId}/mapping-rules/{mappingRuleId},404-not-found,"path param=mappingRuleId, type=string, format=MappingRuleId",yes,
unassignMappingRuleFromGroup,DELETE,/groups/{groupId}/mapping-rules/{mappingRuleId},403-forbidden,403 documented in spec,no,RBAC: permissions required per endpoint
unassignMappingRuleFromGroup,DELETE,/groups/{groupId}/mapping-rules/{mappingRuleId},business-entity-lifecycle,operationId prefix `unassign` implies state transition,no,lifecycle state machine for this entity
unassignMappingRuleFromGroup,DELETE,/groups/{groupId}/mapping-rules/{mappingRuleId},prerequisite-resource,2 path param(s) imply a referenced resource,no,creation chain per identifier semantic-type
unassignMappingRuleFromGroup,DELETE,/groups/{groupId}/mapping-rules/{mappingRuleId},documented-500,response code 500 documented in spec,yes,
unassignMappingRuleFromGroup,DELETE,/groups/{groupId}/mapping-rules/{mappingRuleId},documented-503,response code 503 documented in spec,yes,
searchRolesForGroup,POST,/groups/{groupId}/roles/search,happy-path,documented success response,yes,
searchRolesForGroup,POST,/groups/{groupId}/roles/search,401-unauthorized,spec declares securitySchemes but does not apply them,no,"spec-gap: which endpoints actually require auth (currently encoded only in deployment, not the spec)"
searchRolesForGroup,POST,/groups/{groupId}/roles/search,404-not-found,"path param=groupId, type=string, format=GroupId",yes,
searchRolesForGroup,POST,/groups/{groupId}/roles/search,bad-request:additional-property,closed schema,yes,
searchRolesForGroup,POST,/groups/{groupId}/roles/search,bad-request:type-mismatch,"field=sort, type=array",yes,
searchRolesForGroup,POST,/groups/{groupId}/roles/search,pagination-sort:request-shape,sort array in body,yes,
searchRolesForGroup,POST,/groups/{groupId}/roles/search,pagination-sort:behaviour-assertion,"asserting result correctness, not just status",no,filter-field-semantics + sort-field-allowlist per entity
searchRolesForGroup,POST,/groups/{groupId}/roles/search,filter:request-shape,filter object in body,yes,
